city,name,type,capacity
taipei,臺北市立螢橋國民中學,學校,52
taipei,臺北市立大學附設實驗國民小學,學校,157
taipei,臺北市立弘道國民中學,學校,130
taipei,二二八和平公園,公園/綠地,5424
taipei,臺北市中正運動中心,體育場館/運動中心,250
taipei,臺北市立中正國民中學,學校,300
taipei,臺北市立第一女子高級中學,學校,60
taipei,臺北市立古亭國民中學,學校,60
taipei,臺北市立成功高級中學,學校,31
taipei,臺北市中正區忠孝國民小學,學校,30
taipei,臺北市中正區東門國民小學,學校,100
taipei,臺北市中正區河堤國民小學,學校,72
taipei,臺北市中正區南門國民小學,學校,30
taipei,臺北市立南門國民中學,學校,151
taipei,臺北市立建國高級中學,學校,300
taipei,臺北市國語實驗國民小學,學校,49
taipei,臺北市中正區螢橋國民小學,學校,303
taipei,中正紀念堂站,捷運站體,1974
taipei,古亭站,捷運站體,1828
taipei,台大醫院站,捷運站體,1044
taipei,臺北市市場處光華數位新天地商場地下停車場,市場/停車場,375
taipei,西門站,捷運站體,2974
taipei,臺北市忠義實驗國民小學,學校,50
taipei,臺北市立圖書館王貫英紀念館,圖書館,256
taipei,臺北市立圖書館城中分館,圖書館,30
taipei,臺北市大同區延平國小,學校,88
taipei,臺北市立重慶國民中學,學校,50
taipei,臺北市立忠孝國民中學,學校,131
taipei,臺北市立建成國民中學,學校,119
taipei,玉泉公園,公園/綠地,1993
taipei,臺北市大同運動中心,體育場館/運動中心,300
taipei,臺北市大同區大同國民小學,學校,40
taipei,臺北市大同區大橋國民小學,學校,196
taipei,臺北市大同區大龍國民小學,學校,208
taipei,臺北市大同區太平國民小學,學校,123
taipei,臺北市大同區日新國民小學,學校,137
taipei,臺北市立民權國民中學,學校,30
taipei,臺北市大同區永樂國民小學,學校,304
taipei,臺北市立成淵高級中學,學校,487
taipei,臺北市大同區明倫高級中學,學校,70
taipei,臺北市大同區蓬萊國民小學,學校,104
taipei,臺北市大同區雙蓮國民小學,學校,300
taipei,臺北市立蘭州國民中學,學校,34
taipei,大同251號綠地,公園/綠地,152
taipei,建成公園,公園/綠地,923
taipei,臺北市市場處大龍市場地下停車場,市場/停車場,2356
taipei,國慶區活動中心,活動中心,58
taipei,臺北市立圖書館大同分館,圖書館,138
taipei,臺北市立圖書館延平分館,圖書館,32
taipei,臺北市立圖書館建成分館,圖書館,38
taipei,臺北轉運站,捷運站體,1125
taipei,臺北市立新興國民中學,學校,156
taipei,臺北市立五常國民中學,學校,247
taipei,臺北市中山區中山國民小學,學校,216
taipei,榮星花園公園,公園/綠地,3464
taipei,臺北市中山區行政中心大禮堂,活動中心,84
taipei,臺北市中山運動中心,體育場館/運動中心,184
taipei,新生公園棒球場,體育場館/運動中心,60
taipei,臺北市立大同高級中學,學校,300
taipei,臺北市中山區大佳國民小學,學校,30
taipei,臺北市立大直高級中學,學校,300
