name,lon,lat,city
華山分隊,302552,2771114,taipei
忠孝分隊,303184,2770719,taipei
泉州分隊,301717,2768601,taipei
古亭分隊,304261,2767180,taipei
城中分隊,301807,2771075,taipei
雙園分隊,300004,2769060,taipei
龍山分隊,300387,2770144,taipei
萬芳分隊,307177,2766126,taipei
景美分隊,304631,2765034,taipei
木柵分隊,306876,2764656,taipei
寶橋分隊,306021,2763666,taipei
金華分隊,303258,2769481,taipei
安和分隊,305731,2769536,taipei
復興分隊,304827,2769217,taipei
南港分隊,311271,2771970,taipei
舊莊分隊,312085,2770911,taipei
成德分隊,309199,2771200,taipei
信義分隊,307391,2770418,taipei
永吉分隊,307433,2770941,taipei
莊敬分隊,307040,2769197,taipei
大直分隊,306157,2774755,taipei
松江分隊,303875,2771146,taipei
建國分隊,304063,2773398,taipei
搜救犬訓練基地,305426,2773920,taipei
圓山分隊,303386,2773471,taipei
八德分隊,306804,2771272,taipei
中崙分隊,305076,2771247,taipei
東湖分隊,311835,2773391,taipei
大湖分隊,310690,2775204,taipei
內湖分隊,309559,2773607,taipei
民權分隊,308283,2773311,taipei
建成分隊,302289,2771942,taipei
延平分隊,301597,2771439,taipei
大同分隊,301831,2772685,taipei
山仔后分隊,305021,2780715,taipei
天母分隊,303737,2779758,taipei
福安分隊,300097,2776542,taipei
社子分隊,301597,2774636,taipei
劍潭分隊,303223,2775843,taipei
雙溪分隊,304937,2776701,taipei
後港分隊,302255,2775551,taipei
陽明山分隊,305111,2782678,taipei
光明分隊,300664,2780842,taipei
關渡分隊,297059,2779489,taipei
石牌分隊,302127,2778941,taipei
秀山分隊,299695,2781960,taipei
消防局局本部,121.453934,25.00128,new_taipei_data
第一救災救護大隊部,121.468579,25.035069,new_taipei_data
第一大隊-板橋中隊,121.463377,24.999116,new_taipei_data
第一大隊-海山中隊,121.472171,25.017497,new_taipei_data
第一大隊-莒光分隊,121.468579,25.035069,new_taipei_data
第一大隊-新板分隊,121.4648591,25.0093551,new_taipei_data
第一大隊-板橋分隊,121.463377,24.999116,new_taipei_data
第一大隊-大觀分隊,121.441728,25.004667,new_taipei_data
第一大隊-海山分隊,121.459953,25.024044,new_taipei_data
第一大隊-民生分隊,121.472171,25.017497,new_taipei_data
第一大隊-溪崑分隊,121.430338,24.988713,new_taipei_data
第二救災救護大隊部,121.450991,25.035936,new_taipei_data
第二大隊-新莊中隊,121.4466624,25.0548825,new_taipei_data
第二大隊-五泰林中隊,121.427391,25.05006,new_taipei_data
第二大隊-德音中隊,121.456748,25.063262,new_taipei_data
第二大隊-五工分隊,121.456748,25.063262,new_taipei_data
第二大隊-裕民分隊,121.417779,25.021885,new_taipei_data
第二大隊-福營分隊,121.4276212,25.029572,new_taipei_data
第二大隊-新莊分隊,121.4174247,25.0265898,new_taipei_data
第二大隊-中港分隊,121.4466839,25.0548631,new_taipei_data
第二大隊-頭前分隊,121.466995,25.049147,new_taipei_data
第二大隊-五股分隊,121.439817,25.082467,new_taipei_data
第二大隊-更寮分隊,121.461665,25.078279,new_taipei_data
第二大隊-泰山分隊,121.427391,25.05006,new_taipei_data
第二大隊-林口分隊,121.388389,25.078824,new_taipei_data
