city,area,time,total,livingroom,bedroom,study,kitchen,bathroom,shrine,balcony,courtyard
taipei,松山區,2025-01-01,12,0,2,0,4,1,0,0,0
taipei,信義區,2025-01-01,7,0,0,0,1,0,0,0,1
taipei,大安區,2025-01-01,18,0,2,0,3,0,1,3,0
taipei,中山區,2025-01-01,11,3,1,0,1,0,0,3,0
taipei,中正區,2025-01-01,5,0,1,0,0,1,0,0,0
taipei,大同區,2025-01-01,2,0,1,0,0,0,0,0,0
taipei,萬華區,2025-01-01,10,0,2,0,1,1,0,1,0
taipei,文山區,2025-01-01,9,0,0,0,1,1,1,0,0
taipei,南港區,2025-01-01,7,0,0,0,3,0,0,1,0
taipei,內湖區,2025-01-01,10,0,1,0,3,1,0,1,0
taipei,士林區,2025-01-01,10,1,0,0,1,0,1,1,0
taipei,北投區,2025-01-01,5,0,0,0,1,0,0,1,0
taipei,松山區,2025-02-01,3,0,0,0,1,0,0,0,0
taipei,信義區,2025-02-01,5,1,0,0,3,0,0,0,0
taipei,大安區,2025-02-01,8,0,0,0,4,0,1,0,0
taipei,中山區,2025-02-01,6,0,1,0,0,0,0,1,0
taipei,中正區,2025-02-01,6,0,0,0,1,0,0,0,0
taipei,大同區,2025-02-01,4,0,0,0,2,0,0,0,0
taipei,萬華區,2025-02-01,9,0,0,0,3,0,0,1,0
taipei,文山區,2025-02-01,3,0,0,0,3,0,0,0,0
taipei,南港區,2025-02-01,5,0,2,0,0,0,0,0,0
taipei,內湖區,2025-02-01,4,0,1,0,0,0,0,0,0
taipei,士林區,2025-02-01,9,0,2,0,2,0,0,1,0
taipei,北投區,2025-02-01,5,0,1,0,1,0,0,0,0
taipei,松山區,2025-03-01,8,0,0,0,2,1,0,0,0
taipei,信義區,2025-03-01,6,1,0,0,2,0,0,0,0
taipei,大安區,2025-03-01,8,1,1,0,2,0,0,0,0
taipei,中山區,2025-03-01,12,0,1,0,3,0,0,1,0
taipei,中正區,2025-03-01,6,0,0,0,2,0,0,0,0
taipei,大同區,2025-03-01,6,0,1,0,3,0,0,0,0
taipei,萬華區,2025-03-01,6,2,0,0,0,0,0,0,0
taipei,文山區,2025-03-01,4,0,1,0,1,0,0,0,1
taipei,南港區,2025-03-01,5,0,0,0,2,0,0,0,0
taipei,內湖區,2025-03-01,10,0,1,0,2,1,0,0,0
taipei,士林區,2025-03-01,6,0,1,0,2,0,0,0,0
taipei,北投區,2025-03-01,5,0,0,0,0,0,0,0,0
taipei,松山區,2025-04-01,5,0,0,0,1,1,0,0,0
taipei,信義區,2025-04-01,9,1,2,0,5,0,0,0,0
taipei,大安區,2025-04-01,3,0,0,0,1,0,0,0,0
taipei,中山區,2025-04-01,7,1,0,0,1,0,0,2,0
taipei,中正區,2025-04-01,7,1,1,0,1,0,0,1,0
taipei,大同區,2025-04-01,9,2,2,0,0,0,0,0,0
taipei,萬華區,2025-04-01,10,1,0,0,1,0,0,1,0
taipei,文山區,2025-04-01,6,0,1,0,2,0,0,0,1
taipei,南港區,2025-04-01,2,0,0,0,1,0,0,0,0
taipei,內湖區,2025-04-01,5,0,1,0,3,0,0,0,0
taipei,士林區,2025-04-01,7,0,0,0,2,0,0,0,0
taipei,北投區,2025-04-01,11,0,1,0,3,0,0,0,1
newtaipei,板橋區,2025-04-01,13,2,0,0,1,0,0,4,0
newtaipei,三重區,2025-04-01,13,1,4,0,0,0,0,1,0
newtaipei,永和區,2025-04-01,2,0,0,0,1,0,0,1,0
newtaipei,中和區,2025-04-01,12,1,2,0,2,2,0,1,0
newtaipei,新莊區,2025-04-01,6,1,0,0,0,0,0,0,0
newtaipei,新店區,2025-04-01,6,0,0,0,1,0,1,0,0
newtaipei,土城區,2025-04-01,6,0,0,0,0,0,0,1,0
newtaipei,蘆洲區,2025-04-01,0,0,0,0,0,0,0,0,0
newtaipei,樹林區,2025-04-01,7,0,0,0,1,0,0,0,0
newtaipei,鶯歌區,2025-04-01,8,0,0,0,0,0,0,0,0
newtaipei,三峽區,2025-04-01,12,1,0,0,1,0,0,0,0
newtaipei,淡水區,2025-04-01,11,0,0,0,1,0,0,1,0
newtaipei,汐止區,2025-04-01,6,2,0,0,1,0,0,0,0
newtaipei,瑞芳區,2025-04-01,4,1,0,0,0,0,0,0,0
newtaipei,五股區,2025-04-01,8,0,0,0,0,0,0,1,0
newtaipei,泰山區,2025-04-01,2,0,0,0,0,0,0,0,0
newtaipei,林口區,2025-04-01,5,0,0,0,0,0,0,0,0
newtaipei,深坑區,2025-04-01,2,1,1,0,0,0,0,0,0
newtaipei,石碇區,2025-04-01,1,0,0,0,0,0,0,0,0
newtaipei,坪林區,2025-04-01,1,0,0,0,0,0,0,0,0
newtaipei,三芝區,2025-04-01,2,0,0,0,0,0,0,0,0
newtaipei,石門區,2025-04-01,1,0,0,0,0,0,0,0,0
newtaipei,八里區,2025-04-01,4,0,0,0,1,0,0,0,0
newtaipei,平溪區,2025-04-01,3,0,0,0,0,0,0,0,0
newtaipei,雙溪區,2025-04-01,0,0,0,0,0,0,0,0,0
newtaipei,貢寮區,2025-04-01,5,0,0,0,1,0,0,0,0
newtaipei,金山區,2025-04-01,1,0,0,0,0,0,0,0,0
newtaipei,萬里區,2025-04-01,1,0,0,0,0,0,0,0,0
newtaipei,烏來區,2025-04-01,0,0,0,0,0,0,0,0,0
