城市,學校名稱,汽車數,機車數
newtaipei,新北市立八里國民中學,15,0
newtaipei,新北市八里區八里國民小學,50,0
newtaipei,新北市八里區長坑國民小學,20,0
newtaipei,新北市八里區米倉國民小學,38,0
newtaipei,新北市三芝區三芝國民小學,26,0
newtaipei,新北市三芝區橫山國民小學,13,0
newtaipei,新北市三芝區興華國民小學,10,0
newtaipei,新北市金陵女子高級中學,110,0
newtaipei,新北市立新北高級中學,106,0
newtaipei,新北市立光榮國民中學,30,0
newtaipei,新北市立明志國民中學,12,0
newtaipei,新北市立碧華國民中學,15,0
newtaipei,新北市立三和國民中學,17,0
newtaipei,新北市立二重國民中學,20,0
newtaipei,新北市三重區三重國民小學,8,0
newtaipei,新北市三重區永福國民小學,8,0
newtaipei,新北市三重區厚德國民小學,50,0
newtaipei,新北市三重區三光國民小學,10,0
newtaipei,新北市三重區光興國民小學,5,0
newtaipei,新北市三重區修德國民小學,10,0
newtaipei,新北市三重區二重國民小學,6,0
newtaipei,新北市三重區興穀國民小學,10,0
newtaipei,新北市三重區重陽國民小學,8,0
newtaipei,新北市三重區五華國民小學,25,0
newtaipei,新北市三重區集美國民小學,20,0
newtaipei,新北市私立辭修高級中學,100,0
newtaipei,新北市三峽區北大國民小學,10,0
newtaipei,新北市立北大高級中學,8,0
newtaipei,新北市立安溪國民中學,20,0
newtaipei,新北市三峽區三峽國民小學,10,0
newtaipei,新北市三峽區大埔國民小學,23,0
newtaipei,新北市三峽區建安國民小學,8,0
newtaipei,新北市立插角森林實驗小學,25,0
newtaipei,新北市三峽區有木國民小學,10,0
newtaipei,新北市三峽區安溪國民小學,25,0
newtaipei,新北市三峽區介壽國民小學,30,0
newtaipei,新北市三峽區中園國民小學,40,0
newtaipei,新北市裕德高級中等學校,64,0
newtaipei,新北市立新北高級工業職業學校,100,0
newtaipei,新北市立清水高級中學,20,0
newtaipei,新北市立土城國民中學,70,0
newtaipei,新北市立中正國民中學,90,0
newtaipei,新北市土城區土城國民小學,20,0
newtaipei,新北市土城區清水國民小學,8,0
newtaipei,新北市土城區頂埔國民小學,6,0
newtaipei,新北市土城區廣福國民小學,20,0
newtaipei,新北市土城區樂利國民小學,6,0
newtaipei,新北市土城區安和國民小學,10,0
newtaipei,新北市私立竹林高級中學,20,0
newtaipei,新北市立中和高級中學,70,0
newtaipei,新北市立錦和高級中學,40,0
newtaipei,新北市立中和國民中學,17,0
newtaipei,新北市立積穗國民中學,10,0
newtaipei,新北市立漳和國民中學,10,0
newtaipei,新北市立自強國民中學,10,0
newtaipei,新北市中和區中和國民小學,15,0
newtaipei,新北市中和區興南國民小學,8,0
newtaipei,新北市中和區秀山國民小學,20,0
newtaipei,新北市中和區錦和國民小學,5,0
newtaipei,新北市中和區景新國民小學,7,0
newtaipei,新北市五股區更寮國民小學,15,0
newtaipei,新北市立平溪國民中學,30,0
newtaipei,新北市平溪區平溪國民小學,4,0
newtaipei,新北市平溪區十分國民小學,3,0
newtaipei,新北市立永和國民中學,2,0
newtaipei,新北市立福和國民中學,10,0
newtaipei,新北市永和區永和國民小學,5,0
newtaipei,新北市永和區秀朗國民小學,12,0
newtaipei,新北市永和區頂溪國民小學,11,0
newtaipei,新北市永和區永平國民小學,5,0
newtaipei,新北市石門區乾華國民小學,8,0
newtaipei,新北市立石碇高級中學,42,0
newtaipei,新北市石碇區石碇國民小學,20,0
newtaipei,新北市石碇區和平國民小學,10,0
newtaipei,新北市石碇區永定國民小學,17,0
newtaipei,新北市立汐止國民中學,40,0
newtaipei,新北市汐止區保長國民小學,12,0
newtaipei,新北市汐止區北港國民小學,20,0
newtaipei,新北市汐止區北峰國民小學,13,0
newtaipei,新北市汐止區秀峰國民小學,10,0
newtaipei,新北市汐止區金龍國民小學,20,0
newtaipei,新北市立坪林實驗國民中學,20,0
newtaipei,新北市立板橋高級中學,10,0
newtaipei,新北市立光復高級中學,5,0
newtaipei,新北市立重慶國民中學,25,0
newtaipei,新北市立江翠國民中學,40,0
newtaipei,新北市立中山國民中學,5,0
